ID,nationality,counts
4,Afghanistan,28
12,Algeria,9
24,Angola,1
31,Azerbaijan,1
32,Argentina,30
36,Australia,113
40,Austria,49
51,Armenia,1
56,Belgium,35
70,Bosnia and Herzegovina,12
76,Brazil,51
86,India,33
100,Bulgaria,13
120,Cameroon,3
124,Canada,74
144,Sri Lanka,1
152,Chile,44
156,China,46
158,Taiwan,2
170,Colombia,16
192,Cuba,9
196,Cyprus,15
203,Czech Republic,12
208,Denmark,44
212,Dominican Republic,5
233,Estonia,1
246,Finland,28
250,France,958
276,Germany,560
300,Greece,30
332,Haiti,1
348,Hungary,30
352,Iceland,10
360,Indonesia,1
364,Iran,4
368,Iraq,1
372,Ireland,52
376,Israel,31
380,Italy,1018
384,Ivory Coast,1
388,Jamaica,3
392,Japan,104
398,Kazakhstan,1
410,South Korea,33
422,Lebanon,2
428,Latvia,1
458,Malaysia,17
484,Mexico,21
504,Morocco,27
508,Mozambique,4
512,Romania,4
528,Netherlands,24
554,New Zealand,18
562,Nigeria,6
578,Norway,103
586,Pakistan,1
604,Peru,19
608,Philippines,1
616,Poland,47
620,Portugal,22
643,Russia,36
646,Rwanda,4
686,Senegal,3
702,Singapore,13
704,Vietnam,4
710,South Africa,31
724,Spain,721
752,Sweden,200
756,Switzerland,103
760,Syria,2
780,Trinidad and Tobago,1
792,Turkey,70
800,Uganda,2
804,Ukraine,8
818,Egypt,20
826,Scotland,837
834,Tanzania,1
840,United States,2006
858,Uruguay,4
862,Venezuela,4
